set	n_rows	categories	fields_sample	date_props	numeric_props
AbaViews	5		Id,PerfilId,PerfilNome,ModeloTelaId,ModeloTelaNomeView,ModeloTelaTitulo,ModeloTelaTipo,MenuId,MenuTitulo,Titulo,HeaderTemplate,MainTemplate,Dependente,Ordem,Visivel	DataInclusao,DataAlteracao	
AcessoCaixinhaViews	0	payroll,tax		DataInclusao,DataAlteracao	
AcessoEscritorioProfissionalViews	0	payroll,tax		DataInclusao,DataAlteracao	
AcessoEscritorioViews	0			DataInclusao,DataAlteracao	
AcessoExcecaoProfissionalViews	0	payroll,tax		DataAlteracao,DataInclusao	
AcessoExcecaoViews	0	payroll,tax		DataInicial,DataFinal,DataAlteracao,DataInclusao	
AcessoLogViews	5		Id,Codigo,UsuarioId,UsuarioCodigo,UsuarioNome,UsuarioUsuarioAd,TipoAcao,ResultadoAcao,MotivoFalha,IpOrigem,IpOrigemHeader,Geolocalizacao,DataRegistro,NomeOs,UserAgent	DataRegistro	
AdiantamentoDespesaViews	0	expense			
AdiantamentoViews	5	revenue,invoice,client	Id,CasoId,CasoCodigo,CasoCodigoSimplificado,CasoCodigoNumerico,CasoAssunto,CasoClienteId,CasoClienteCodigo,CasoClienteClienteRaiz,CasoClienteCodigoSimplificado,CasoClienteCodigoNumerico,CasoClientePessoaNome,CasoClientePessoaNomeFantasia,EscritorioId,EscritorioCodigo	Data	
AditivoViews	0			Data,DataInclusao,DataAlteracao	
AgendaCorrespondenteViews	1	expense,tax,client	AssuntoId,AssuntoCasoClienteId,AssuntoCasoId,DesdobramentoId,DesdobramentoNumeroProcesso,AssuntoCasoClienteCodigo,AssuntoCasoClienteClienteRaiz,AssuntoCasoClienteCodigoSimplificado,AssuntoCasoClientePessoaNome,AssuntoCasoCodigo,AssuntoCasoCodigoSimplificado,AssuntoCasoCodigoNumerico,AssuntoCasoAssunto,AssuntoNumeroProcesso,AssuntoValidarCNJ	Data,DataInclusao,DataAlteracao	AnexosCount
AgendaMensalViews	1	payroll,tax	Id,CompromissoId,ProfissionalId,AssuntoId,Data,CompromissoPendente,CompromissoConcluido,CompromissoCancelado,CompromissoOutros,CompromissoAtrasado,TarefaPendente,TarefaConcluida,TarefaCancelada,TarefaOutros,TarefaAtrasada	Data	
AgendadorRelatorioViews	0			DataInclusao,DataUltimaConclusao,DataAlteracao	
AgendamentoDeFeriasViews	0	payroll,tax		DataSolicitacao,PeriodoInicial,PeriodoFinal,PeriodoFinalLastSolicitation,PeriodoInicialLastSolicitation,DataAprovacaoGestor,DataAprovacaoRh,DataInclusao,DataAlteracao	
AlcadaCategoriaViews	0	expense,payroll,tax		DataAlteracao,DataInclusao	
AlcadaExcecaoViews	0			DataAlteracao,DataInclusao	
