set	n_props	n_date_props	date_props	has_valor	has_data	has_recebimento	has_caso	has_cliente	props_sample
AcessoCaixinhaViews	17	2	DataInclusao,DataAlteracao	False	True	False	False	False	Id,SecretariaId,SecretariaSigla,SecretariaCodigo,SecretariaPessoaNome,SecretariaPessoaNomeFantasia,ProfissionalId,ProfissionalSigla,ProfissionalCodigo,ProfissionalPessoaNome,ProfissionalPessoaNomeFantasia,Codigo,DataInclusao,UsuarioInclusao,DataAlteracao,UsuarioAlteracao,SecretatiaPessoaNomeFantasia
AlcadaViews	24	4	DataInicialSubstituicao,DataFinalSubstituicao,DataAlteracao,DataInclusao	True	True	False	False	False	Id,ProfissionalId,ProfissionalCategoriaId,ProfissionalSigla,ProfissionalPessoaNome,AlcadaSuperiorId,AlcadaSuperiorProfissionalSigla,AlcadaSuperiorProfissionalPessoaNome,Valor,ValorPrestacao,ProfissionalSubstitutoId,ProfissionalSubstitutoSigla,ProfissionalSubstitutoPessoaNome,DataInicialSubstituicao,DataFinalSubstituicao,UsuarioInclusao,DataAlteracao,UsuarioAlteracao,DataInclusao,AlcadasFilhosCount,Codigo,GrupoDespesaId,GrupoDespesaDescricao,ExtraData
AlcadaExcecaoViews	13	2	DataAlteracao,DataInclusao	True	True	False	False	False	Id,ProjetoItemProjetoId,ProjetoItemProjetoDescricao,ProjetoItemId,ProjetoItemDescricao,AlcadaId,Valor,ValorPrestacao,UsuarioInclusao,DataAlteracao,UsuarioAlteracao,DataInclusao,Codigo
AlcadaCategoriaViews	12	2	DataAlteracao,DataInclusao	False	True	False	False	False	Id,GrupoDespesaId,GrupoDespesaDescricao,CategoriaId,CategoriaNome,AlcadaSolicitacaoPagamento,AlcadaPrestacaoConta,ProfissionalId,UsuarioInclusao,DataAlteracao,UsuarioAlteracao,DataInclusao
AlocacaoGrupoJuridicoViews	25	4	DataPeriodoInicial,DataPeriodoFinal,DataInclusao,DataAlteracao	False	True	False	True	True	Id,PeriodoInicial,DataPeriodoInicial,PeriodoFinal,DataPeriodoFinal,Tipo,CasoClienteId,CasoClienteCodigo,CasoClienteClienteRaiz,CasoClienteCodigoSimplificado,CasoClienteCodigoNumerico,CasoClientePessoaNome,CasoClientePessoaNomeFantasia,CasoId,CasoCodigo,CasoCodigoSimplificado,CasoCodigoNumerico,CasoAssunto,JuncaoAlocacaoId,JuncaoAlocacaoDescricao,MultiRegistrosAlocacaoGrupoJuridicos,DataInclusao,UsuarioInclusao,DataAlteracao,UsuarioAlteracao
AlocacaoGrupoJuridicoPercentualViews	13	2	DataInclusao,DataAlteracao	False	True	False	False	False	Id,TipoAlocacao,AlocacaoGrupoJuridicoId,GrupoJuridicoEscritorioId,GrupoJuridicoEscritorioNome,GrupoJuridicoId,GrupoJuridicoNome,Percentual,DataInclusao,UsuarioInclusao,DataAlteracao,UsuarioAlteracao,Editando
AlocacaoRecebimentoCasoClienteViews	50	1	PeriodoRecebimento	True	False	True	True	True	Id,Tipo,ClienteId,ClienteCodigo,ClienteCodigoSimplificado,ClienteClienteRaiz,ClienteCodigoNumerico,ClientePessoaNome,CasoId,CasoCodigo,CasoCodigoSimplificado,CasoCodigoNumerico,CasoAssunto,CasoProfissionalRevisorId,CasoProfissionalRevisorSigla,CasoProfissionalRevisorPessoaNome,CasoAreaJuridicaId,CasoAreaJuridicaCodigo,CasoAreaJuridicaSigla,CasoAreaJuridicaNome,Contratos,TipoContrato,ValorRecebido,SaldoRecebimentoAnterior,ValorTransferido
AlocacaoRecebimentoTransferenciaClienteViews	49	1	PeriodoRecebimento	True	False	True	True	True	Id,Tipo,ClienteId,ClienteCodigo,ClienteCodigoSimplificado,ClienteClienteRaiz,ClienteCodigoNumerico,ClientePessoaNome,CasoId,CasoCodigo,CasoCodigoSimplificado,CasoCodigoNumerico,CasoAssunto,CasoProfissionalRevisorId,CasoProfissionalRevisorSigla,CasoProfissionalRevisorPessoaNome,CasoAreaJuridicaId,CasoAreaJuridicaCodigo,CasoAreaJuridicaSigla,CasoAreaJuridicaNome,Contratos,TipoContrato,ValorRecebido,SaldoRecebimentoAnterior,ValorTransferido
AlocacaoRecebimentoTransferenciaJuncaoViews	48	1	PeriodoRecebimento	True	False	True	True	True	Id,Tipo,CasoId,CasoCodigo,CasoCodigoSimplificado,CasoAssunto,CasoProfissionalRevisorId,CasoProfissionalRevisorSigla,CasoProfissionalRevisorPessoaNome,CasoAreaJuridicaId,CasoAreaJuridicaCodigo,CasoAreaJuridicaSigla,CasoAreaJuridicaNome,CasoClienteId,CasoClienteCodigo,CasoClienteClienteRaiz,CasoClienteCodigoSimplificado,CasoClientePessoaNome,Contratos,TipoContrato,JuncaoAlocacaoId,ValorRecebido,SaldoRecebimentoAnterior,ValorTransferido,ClientFee
AlocacaoRecebimentoCasoJuncaoViews	48	1	PeriodoRecebimento	True	False	True	True	True	Id,Tipo,CasoId,CasoCodigo,CasoCodigoSimplificado,CasoAssunto,CasoProfissionalRevisorId,CasoProfissionalRevisorSigla,CasoProfissionalRevisorPessoaNome,CasoAreaJuridicaId,CasoAreaJuridicaCodigo,CasoAreaJuridicaSigla,CasoAreaJuridicaNome,CasoClienteId,CasoClienteCodigo,CasoClienteClienteRaiz,CasoClienteCodigoSimplificado,CasoClientePessoaNome,Contratos,TipoContrato,JuncaoAlocacaoId,ValorRecebido,SaldoRecebimentoAnterior,ValorTransferido,ClientFee
AlocacaoRecebimentoCasoContratoViews	18	0		False	False	False	True	True	Id,ClienteId,ClienteCodigo,ClienteCodigoSimplificado,ClienteClienteRaiz,ClienteCodigoNumerico,ClientePessoaNome,CasoId,CasoCodigo,CasoCodigoSimplificado,CasoCodigoNumerico,CasoAssunto,JuncaoAlocacaoId,TipoContrato,Movimentacao,ContratoId,ContratoCodigo,ContratoNome
AlocacaoRecebimentoContratoViews	17	0		False	False	False	True	True	Id,ClienteId,ClienteCodigo,ClienteCodigoSimplificado,ClienteClienteRaiz,ClienteCodigoNumerico,ClientePessoaNome,JuncaoAlocacaoId,CasoId,CasoCodigo,CasoCodigoSimplificado,CasoCodigoNumerico,CasoAssunto,ContratoId,ContratoCodigo,ContratoNome,CodigoContrato
AlocacaoRecebimentoDespesaClienteViews	8	0		True	False	False	False	True	Id,ClienteId,Valor,SituacaoWo,TipoDespesaId,TipoDespesaDescricao,CodigoWo,TipoContrato
AlocacaoRecebimentoDespesaJuncaoViews	8	0		True	False	False	False	False	Id,JuncaoAlocacaoId,Valor,SituacaoWo,TipoDespesaId,TipoDespesaDescricao,CodigoWo,TipoContrato
AlocacaoRecebimentoFaturaClienteViews	17	1	DataRecebimento	True	True	True	True	True	Id,FaturaId,Numero,ClienteId,CasoId,DataRecebimento,SaldoRecebimentoAnterior,ValorRecebido,DespesasEmbutidas,ServicosEmbutidos,ClientFee,ValorAlocado,TipoContrato,Transferido,Tipo,ValorTransferido,CasoOriginalId
AlocacaoRecebimentoFaturaClienteTransferenciaViews	17	1	DataRecebimento	True	True	True	True	True	Id,FaturaId,Numero,ClienteId,CasoId,DataRecebimento,SaldoRecebimentoAnterior,ValorRecebido,DespesasEmbutidas,ServicosEmbutidos,ClientFee,ValorAlocado,TipoContrato,Transferido,Tipo,ValorTransferido,CasoOriginalId
AlocacaoRecebimentoFaturaClienteJobViews	16	1	DataRecebimento	True	True	True	True	True	Id,FaturaId,Numero,ClienteId,CasoId,DataRecebimento,SaldoRecebimentoAnterior,ValorRecebido,DespesasEmbutidas,ServicosEmbutidos,ClientFee,ValorAlocado,TipoContrato,Transferido,Tipo,ValorTransferido
AlocacaoRecebimentoFaturaJuncaoTransferenciaViews	16	1	DataRecebimento	True	True	True	True	False	Id,FaturaId,Numero,CasoId,JuncaoAlocacaoId,DataRecebimento,SaldoRecebimentoAnterior,ValorRecebido,DespesasEmbutidas,ServicosEmbutidos,ClientFee,ValorAlocado,TipoContrato,Transferido,Tipo,ValorTransferido
AlocacaoRecebimentoFaturaJuncaoViews	16	1	DataRecebimento	True	True	True	True	False	Id,FaturaId,Numero,CasoId,JuncaoAlocacaoId,DataRecebimento,SaldoRecebimentoAnterior,ValorRecebido,DespesasEmbutidas,ServicosEmbutidos,ClientFee,ValorAlocado,TipoContrato,Transferido,Tipo,ValorTransferido
AlocacaoRecebimentoHorasAlocarCasoViews	14	1	ProfissionalDataSaida	True	False	False	True	False	Id,ProfissionalId,ProfissionalSigla,ProfissionalPessoaNome,ProfissionalDataSaida,CategoriaId,CategoriaNome,CasoId,SituacaoRetornoDescricao,Horas,Valor,TipoContrato,Cotacao,SituacaoProfissional
AlocacaoRecebimentoHorasAlocarCasoJuncaoViews	15	1	ProfissionalDataSaida	True	False	False	True	False	Id,ProfissionalId,ProfissionalSigla,ProfissionalPessoaNome,ProfissionalDataSaida,CategoriaId,CategoriaNome,CasoId,SituacaoRetornoDescricao,JuncaoAlocacaoId,Horas,Valor,TipoContrato,Cotacao,SituacaoProfissional
AlocacaoRecebimentoHorasAlocarClienteViews	13	1	ProfissionalDataSaida	True	False	False	False	True	Id,ProfissionalId,ProfissionalSigla,ProfissionalPessoaNome,ProfissionalDataSaida,CategoriaId,CategoriaNome,ClienteId,SituacaoRetornoDescricao,Horas,Valor,TipoContrato,SituacaoProfissional
AlocacaoRecebimentoHorasAlocarJuncaoViews	13	1	ProfissionalDataSaida	True	False	False	False	False	Id,ProfissionalId,ProfissionalSigla,ProfissionalPessoaNome,ProfissionalDataSaida,CategoriaId,CategoriaNome,SituacaoRetornoDescricao,JuncaoAlocacaoId,Horas,Valor,TipoContrato,SituacaoProfissional
