	Orçado	Realizado	
Recebimento	='Areas Sintetico atualizado'!K72	='Areas Sintetico atualizado'!L72	
Custo equipe	='Areas Sintetico atualizado'!K75	='Areas Sintetico atualizado'!L75	=C3/$C$2
=Econômico!A4		='Areas Sintetico atualizado'!L76	=C4/$C$2
Despesas Equipe	='Areas Sintetico atualizado'!K77	='Areas Sintetico atualizado'!L77	=C5/$C$2
Despesa Institucional	='Areas Sintetico atualizado'!K78	='Areas Sintetico atualizado'!L78	=C6/$C$2
Resultado Bruto	=B2-B3-B5-B6	=C2-C3-C5-C6-C4	=C7/$C$2
			
			
			
			
			
Recebimento			
Custo equipe	=D3		
=A4	=D4		
Despesas Equipe	=D5		
Despesa Institucional	=D6		
Resultado Bruto	=D7		
