	Orçado	Realizado	
Recebimento	='Areas Sintetico atualizado'!K54	='Areas Sintetico atualizado'!L54	
Custo equipe	='Areas Sintetico atualizado'!K57	='Areas Sintetico atualizado'!L57	=C3/$C$2
=Contencioso!A4	='Areas Sintetico atualizado'!K58	='Areas Sintetico atualizado'!L58	=C4/$C$2
Despesas Equipe	='Areas Sintetico atualizado'!K59	='Areas Sintetico atualizado'!L59	=C5/$C$2
Despesa Institucional	='Areas Sintetico atualizado'!K60	='Areas Sintetico atualizado'!L60	=C6/$C$2
Resultado Bruto	=B2-B3-B5-B6	=C2-C3-C5-C6-C4	=C7/$C$2
			
			
			
			
			
Recebimento			
Custo equipe	=D3		
=A4	=D4		
Despesas Equipe	=D5		
Despesa Institucional	=D6		
Resultado Bruto	=D7		
