	671666.67														
	Janeiro	Fevereiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	Outubro	Novembro	Dezembro	1		
Contencioso	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	TOTAL		
Recebimento	='Areas Sintetico atualizado'!C36												=B4+C4+D4+E4+F4+G4+H4+I4+J4+K4+L4+M4		Minimo de receita
Equipe	='Areas Sintetico atualizado'!C39+'Areas Sintetico atualizado'!C40												=B5+C5+D5+E5+F5+G5+H5+I5+J5+K5+L5+M5		=(N5+N6+N7+N8)/$N$2
Despesas	='Areas Sintetico atualizado'!C41+'Areas Sintetico atualizado'!C42												=B6+C6+D6+E6+F6+G6+H6+I6+J6+K6+L6+M6		
Impostos	='Areas Sintetico atualizado'!C46												=B7+C7+D7+E7+F7+G7+H7+I7+J7+K7+L7+M7		Margem Liq.
Investimento amortizaçao	='Areas Sintetico atualizado'!C47												=B8+C8+D8+E8+F8+G8+H8+I8+J8+K8+L8+M8		
Margem liquida	=B4-B5-B6-B7-B8	=C4-C5-C6-C7-C8	=D4-D5-D6-D7-D8	=E4-E5-E6-E7-E8	=F4-F5-F6-F7-F8	=G4-G5-G6-G7-G8	=H4-H5-H6-H7-H8	=I4-I5-I6-I7-I8	=J4-J5-J6-J7-J8	=K4-K5-K6-K7-K8	=L4-L5-L6-L7-L8	=M4-M5-M6-M7-M8	=N4-N5-N6-N7-N8		=N9/N4
															
	Janeiro	Fevereiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	=K2	=L2	=M2			
Economico	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	TOTAL		
Recebimento	='Areas Sintetico atualizado'!C54												=B13+C13+D13+E13+F13+G13+H13+I13+J13+K13+L13+M13		Minimo de receita
Equipe	='Areas Sintetico atualizado'!C57												=B14+C14+D14+E14+F14+G14+H14+I14+J14+K14+L14+M14		=(N14+N15+N16+N17)/$N$2
Despesas	='Areas Sintetico atualizado'!C59+'Areas Sintetico atualizado'!C60												=B15+C15+D15+E15+F15+G15+H15+I15+J15+K15+L15+M15		
Impostos	='Areas Sintetico atualizado'!C64												=B16+C16+D16+E16+F16+G16+H16+I16+J16+K16+L16+M16		Margem Liq.
Investimento amortizaçao	='Areas Sintetico atualizado'!C65												=B17+C17+D17+E17+F17+G17+H17+I17+J17+K17+L17+M17		
Margem liquida	=B13-B14-B15-B16-B17	=C13-C14-C15-C16-C17	=D13-D14-D15-D16-D17	=E13-E14-E15-E16-E17	=F13-F14-F15-F16-F17	=G13-G14-G15-G16-G17	=H13-H14-H15-H16-H17	=I13-I14-I15-I16-I17	=J13-J14-J15-J16-J17	=K13-K14-K15-K16-K17	=L13-L14-L15-L16-L17	=M13-M14-M15-M16-M17	=N13-N14-N15-N16-N17		=N18/N13
															
	Janeiro	Fevereiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	=K2	=L2	=M2			
Arbitragem	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	Realizado	TOTAL		
Recebimento	='Areas Sintetico atualizado'!C72												=B22+C22+D22+E22+F22+G22+H22+I22+J22+K22+L22+M22		Minimo de receita
Equipe	='Areas Sintetico atualizado'!C75												=B23+C23+D23+E23+F23+G23+H23+I23+J23+K23+L23+M23		=(N23+N24+N25+N26)/$N$2
Despesas	='Areas Sintetico atualizado'!C77+'Areas Sintetico atualizado'!C78												=B24+C24+D24+E24+F24+G24+H24+I24+J24+K24+L24+M24		
Impostos	='Areas Sintetico atualizado'!C82												=B25+C25+D25+E25+F25+G25+H25+I25+J25+K25+L25+M25		Margem Liq.
Investimento amortizaçao	='Areas Sintetico atualizado'!C83												=B26+C26+D26+E26+F26+G26+H26+I26+J26+K26+L26+M26		
Margem liquida	=B22-B23-B24-B25-B26	=C22-C23-C24-C25-C26	=D22-D23-D24-D25-D26	=E22-E23-E24-E25-E26	=F22-F23-F24-F25-F26	=G22-G23-G24-G25-G26	=H22-H23-H24-H25-H26	=I22-I23-I24-I25-I26	=J22-J23-J24-J25-J26	=K22-K23-K24-K25-K26	=L22-L23-L24-L25-L26	=M22-M23-M24-M25-M26	=N22-N23-N24-N25-N26		=N27/N22
															
															
	=B4+B13+B22	=C4+C13+C22	=D4+D13+D22	=E4+E13+E22	=F4+F13+F22	=G4+G13+G22	=H4+H13+H22	=I4+I13+I22	=J4+J13+J22	=K4+K13+K22	=L4+L13+L22	=M4+M13+M22	=B30+C30+D30+E30+F30+G30+H30+I30+J30+K30+L30+M30		
