	Orçado	Realizado	
Recebimento	167916.6675	86846.3349481	
Custo equipe	62184.36000000001	62013.17	0.7140562700436296
Comissão		0	0
Despesas Equipe	1901.49	146	0.0016811302409854216
Despesa Institucional	25223.35392635692	29858.03581439388	0.3438030612602968
Resultado Bruto	78607.46357364306	-5170.870866293873	-0.059540461544911744
			
			
			
			
			
Recebimento			
Custo equipe	0.7140562700436296		
Comissão	0		
Despesas Equipe	0.0016811302409854216		
Despesa Institucional	0.3438030612602968		
Resultado Bruto	-0.059540461544911744		
