	Orçado	Realizado	
Recebimento	251875.00125000003	72613.09070295	
Custo equipe	74354.065	73576.315	1.0132651604239025
Comissão	0	0	0
Despesas Equipe	2110.49	1060.095	0.01459922707789289
Despesa Institucional	36974.28297907791	35425.446697227795	0.4878658428429709
Resultado Bruto	138436.16327092214	-37448.765994277805	-0.5157302303447663
			
			
			
			
			
Recebimento			
Custo equipe	1.0132651604239025		
Comissão	0		
Despesas Equipe	0.01459922707789289		
Despesa Institucional	0.4878658428429709		
Resultado Bruto	-0.5157302303447663		
