DRE		Janeiro	Fevereiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	Outubro	Novembro	Dezembro																										
             Resultado  Institucional		Orçado	Orçado	Orçado	Orçado	Orçado	Orçado	Orçado	Orçado	Orçado	Orçado	Orçado	Orçado																										
Faturamento 	8060000.04	671666.67	671666.67	671666.67	671666.67	671666.67	671666.67	671666.67	671666.67	671666.67	671666.67	671666.67	671666.67																										
Despesas 																																							
Custos Diretos	2403882.6477500005	213417.59000000005	208717.59000000005	196100.61000000004	200900.61000000004	196100.61000000004	196100.61000000004	200900.61000000004	196100.61000000004	196100.61000000004	203186.86425	198127.66675	198128.66675																										
Custo equipe - Contencioso	881797.7342499999	74354.065	72754.065	72754.065	74354.065	72754.065	72754.065	74354.065	72754.065	72754.065	75309.51475	73450.31725000001	73451.31725000001																										
Custo equipe - Econômico	914114.7525000002	76879.16500000002	75379.16500000002	75379.16500000002	76979.16500000002	75379.16500000002	75379.16500000002	76979.16500000002	75379.16500000002	75379.16500000002	78067.4225	76467.4225	76467.4225																										
Custo equipe - Arbitragem e Compliance	607970.1610000001	62184.36000000001	60584.36000000001	47967.380000000005	49567.380000000005	47967.380000000005	47967.380000000005	49567.380000000005	47967.380000000005	47967.380000000005	49809.927	48209.927	48209.927																										
Despesas Indiretas	1331793.8110333334	102906.66333333333	100790.32713333333	128651.11546666667	118391.11546666667	108896.06546666667	100270.32546666668	108849.43736666668	102160.57146666668	100910.57146666668	114919.23946666668	108424.18946666668	136624.18946666666																										
Ocupação	410635.67999999993	27197.48	34236.38	34236.38	34236.38	34236.38	35213.24	35213.24	35213.24	35213.24	35213.24	35213.24	35213.24																										
Telecomunicações	10127.401800000001	890	839.7638000000001	839.7638000000001	839.7638000000001	839.7638000000001	839.7638000000001	839.7638000000001	839.7638000000001	839.7638000000001	839.7638000000001	839.7638000000001	839.7638000000001																										
Despesas Gerais	74921.84999999998	7255	5505	5742.205	7292.205	5742.205	5683.605	7333.605	5683.605	5783.605	7333.605	5783.605	5783.605																										
Consultoria	244264.88299999997	23240.8	23035.8	22815.8	18355.8	18055.8	18705.8	18480.8	19255.8	18055.8	18717.561	22772.561	22772.561																										
Salários Administração	82659.53100000002	6426.58	6776.58	6426.58	6426.58	6426.58	6426.58	6426.58	6426.58	6426.58	6623.437	8923.437	8923.437																										
Administrativas 	91084.46523333334	2996.8033333333333	2996.8033333333333	14690.386666666667	14690.386666666667	14695.336666666666	3001.336666666667	5655.448566666668	5691.582666666667	5691.582666666667	9791.632666666666	5491.582666666667	5691.582666666667																										
Taxas / Despesas Financeiras	0																																						
Investimentos em Prospecção	96000	4500	4500	6000	6000	6000	7500	4500	6000	6000	6000	4500	34500																										
Endomarketing	1200	100	100	100	100	100	100	100	100	100	100	100	100																										
Gestão do Conhecimento	2300	0	0	0	150	0	0	0	150	0	0	2000	0																										
Informática 	318600	30300	22800	37800	30300	22800	22800	30300	22800	22800	30300	22800	22800																										
Resultado Bruto	4324323.581216666	355342.4166666666	362158.75286666665	346914.9445333333	352374.9445333333	366669.99453333335	375295.73453333334	361916.6226333333	373405.4885333333	374655.4885333333	353560.56628333335	365114.8137833334	336913.8137833334																										
Margem de bruta	0.5365165706893305	0.5290457790121796	0.5391941703265798	0.5164986741612968	0.5246277063790188	0.5459106591269942	0.558752951867231	0.5388336786658378	0.555938689846458	0.5577997320208449	0.5263929000427151	0.5435952535553586	0.501608653267451																										
Impostos	1809000.0060000008	150750.00050000002	150750.00050000002	150750.00050000002	150750.00050000002	150750.00050000002	150750.00050000002	150750.00050000002	150750.00050000002	150750.00050000002	150750.00050000002	150750.00050000002	150750.00050000002																										
Amortização	97404	8117	8117	8117	8117	8117	8117	8117	8117	8117	8117	8117	8117																										
Resultado Liquido após impostos	2417919.575216665	196475.4161666666	203291.75236666662	188047.94403333328	193507.94403333328	207802.99403333332	216428.7340333333	203049.6221333333	214538.48803333327	215788.48803333327	194693.56578333332	206247.81328333338	178046.81328333338																										
Margem liquida	0.2999900202502561	0.29251922857310547	0.3026676198875055	0.27997212372222263	0.2881011559399445	0.30938410868792005	0.3222264014281568	0.30230712822676353	0.31941213940738383	0.3212731815817707	0.28986634960364094	0.3070687031162844	0.2650821028283767																										
Reserva bônus	241791.9575216665	19647.541616666662	20329.175236666662	18804.79440333333	19350.79440333333	20780.299403333334	21642.87340333333	20304.962213333332	21453.848803333327	21578.848803333327	19469.356578333332	20624.781328333338	17804.68132833334																										
																																							
Rentabilidade	2403882.6477500005	213417.59000000005	208717.59000000005	196100.61000000004	200900.61000000004	196100.61000000004	196100.61000000004	200900.61000000004	196100.61000000004	196100.61000000004	203186.86425	198127.66675	198128.66675																										
	1331793.8110333334	102906.66333333333	100790.32713333333	128651.11546666667	118391.11546666667	108896.06546666667	100270.32546666668	108849.43736666668	102160.57146666668	100910.57146666668	114919.23946666668	108424.18946666668	136624.18946666666																										
	1072088.836716667	110510.92666666672	107927.26286666673	67449.49453333337	82509.49453333337	87204.54453333338	95830.28453333337	92051.17263333336	93940.03853333337	95190.03853333337	88267.62478333333	89703.47728333333	61504.47728333334																										
	0.13301350265460632	0.16453239620579463	0.16068575036880528	0.10042108317408897	0.12284291929110219	0.12983306813978632	0.14267536088002306	0.13704889157792116	0.13986109885925016	0.14172214103363706	0.13141581788379245	0.13355356353075154	0.09156994091032288																										
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
	0		0	0	0	0	0	0	0	0	0	0	0																										
																																							
																																							
																																							
																																							
																																							
																																							
Assinaturas																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
	0		0	0	0	0	0	0	0	0	0	0	0																										
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
	0.2999900202502561		0.3026676198875055	0.27997212372222263	0.2881011559399445	0.30938410868792005	0.3222264014281568	0.30230712822676353	0.31941213940738383	0.3212731815817707	0.28986634960364094	0.3070687031162844	0.2650821028283767																										
