	Orçado	Realizado	
Recebimento	251875.00125000003	120362.57434894999	
Custo equipe	76879.16500000002	76041.035	0.6317664391220572
Comissão	0	0	0
Despesas Equipe	3174.8233333333333	1871.805	0.01555138721587446
Despesa Institucional	37924.624283677076	36612.15748837833	0.3041822400892984
Resultado Bruto	133896.38863298958	5837.576860571651	0.04849993357276989
			
			
			
			
			
Recebimento			
Custo equipe	0.6317664391220572		
Comissão	0		
Despesas Equipe	0.01555138721587446		
Despesa Institucional	0.3041822400892984		
Resultado Bruto	0.04849993357276989		
