	Orçado 	Realizado		
Recebimento	1343333.34	599054.65		
Custo equipe	1806527.7499999995	211630.52000000002	0.35327414619016817	
Despesas 	1228915.9292000001	104973.54000000001	0.1752319926070184	
Resultado Bruto	-1692110.3391999996	282450.58999999997	0.4714938612028134	
Imposto	195186.334302	41973.1605		
Amortização		8117		
Resultado Liquido	-1887296.6735019996	232360.42949999997		
				
				
Recebimento				
Custo equipe		0.35327414619016817		
Despesas 		0.1752319926070184		
Resultado Bruto		0.4714938612028134		
Imposto				
Resultado Liquido				
				
				
				
Recebimento	599054.65			
Ocupação	32337.05	0.05398013353205755		
Telecomunicações	807.1599999999999	0.001347389591250147		
Despesas Gerais	6773.44	0.011306881600868969		
Consultoria	30035.14	0.05013756257463321		
Salários Administração	5139.13	0.00857873317567938		
Administrativas 	4300.030000000001	0.00717802624518481		
Investimentos em Prospecção	2702.45	0.004511191090829526		
Endomarketing	0	0		
Gestão do Conhecimento	692.37	0.001155771013546093		
Informática 	22186.77	0.03703630378296872		
Resultado Bruto				
