	Orçado 		
Recebimento	1343333.34		
Custo equipe	1806527.7499999995		
Despesas 	1228915.9292000001		
Resultado Bruto	-1692110.3391999996		
Imposto	195186.334302		
Amortização			
Resultado Liquido	-1887296.6735019996		
			
			
Recebimento			
Custo equipe			
Despesas 			
Resultado Bruto			
Imposto			
Resultado Liquido			
			
			
			
Recebimento	8060000.04		
Custos Diretos	2403882.6477500005	0.6434932666874789	
Ocupação	410635.67999999993	0.1099227099912553	
Telecomunicações	10127.401800000001	0.0027109954279333865	
Despesas Gerais	74921.84999999998	0.020055765221274315	
Consultoria	244264.88299999997	0.06538705524823588	
Salários Administração	82659.53100000002	0.022127058355294844	
Administrativas 	91084.46523333334	0.024382321712892258	
Prospecção	96000	0.025698156962786354	
Endomarketing	1200	0.00032122696203482943	
Gestão do Conhecimento	2300	0.0006156850105667564	
Informática 	318600	0.08528575842024722	
	3735676.4587833337		
			
			
Custos Diretos	0.6434932666874789		
Ocupação	0.1099227099912553		
Consultoria	0.06538705524823588		
Administrativas 	0.04537499890676816		
Pessoal	0.022127058355294844		
TI	0.0879967538481806		
Prospecção	0.025698156962786354		
			
			
			
			
			
			
			
			
			
