META 2026		YTD				jan a jun	jan a ago	projeção ate dez			
Meta Anual	12	1	11	Nova meta mês		3120555	444545.69	3240454.69		576622	Nacionais
8060000	671666.6666666666	444545.69	7615454.31	692314.0281818182		0.38716563275434246	0.05515455210918114	0.40204152481389577		85120	Internacionais
										420000	Pre faturas
							4609027			374267	WM
							-0.9035489073941203			140000	Tonico
META 2025		YTD						6143091			
Meta Anual	12							-0.47250420187491937			
8060000	671666.6666666666	444545.69		7615454.31	692314.0281818182						
											
											
											
	Recebimento	Faturamento	Meta	Despesas	Despesas indiretas	Custo direto					
Jan	279821.07	444545.69	671667	316604.06000000006	104973.54000000001	211630.52000000002		-36782.99000000002			
Fev			671667	0				0			
Mar			671667	0				0			
Abr			671667	0				0			
Mai			671667	0				0			
Jun			671667	0				0			
Jul			671667	0				0			
Ago			671667	0				0			
Set			671667	0				0			
Out			671667	0				0			
Nov			671667	0				0			
Dez			671667	0				0			
	279821.07	444545.69	8060004	316604.06000000006	104973.54000000001	211630.52000000002	0	-36782.99000000002			
											
MÉDIA ANUAL	23318.4225										
											
											
			127941.63	-36782.99000000002							
											
											
											
	Recebimento	Despesas		#							
Jan	316807.42	330244.38499999995	134911.6	-148348.56499999997							
Fev	216057.27	377306.695	5092.450000000001	-166341.87500000003							
Mar	613202.96	363984.20666666667	814.99	248403.7633333333							
Abr	588260.32	375072.45999999996	110831.76	102356.09999999999							
Mai	658171.05	360112.80000000005	5968	292090.25							
Jun	632809.49	334821.86	11928.17	286059.46							
Jul	260036.93	337422.559	183171.96	-260557.589							
	3285345.44	2478964.965666667	452718.92999999993								
