Fatura	Nº	Cliente	Nº	Caso	Advogado	Valor	Area Originador	DT Receb	Valor a Creditar	Area Destino		saida		entrada		
3465	61	Atems	10	Ream - Trabalhos Adicionais	ASG	474.09	Econômico	2025-03-01 00:00:00	7395.61	Contencioso		Consolidado	Area Origem (saida)	Consolidado	Area Destino (Entrada)	
					BBX	7395.61			7822.38	Contencioso		54452.9331872	Arbitragem	10285.68	Arbitragem	
					BMP	2560.02						46372.07	Contencioso	106691.10318719999	Contencioso	
					DC	7822.38						53095.31	Econômico	36943.53	Econômico	
					RB	9718.71										
					VC	10429.76						Consolidado	Area Origem	Area Destino	MÊS	
					Total Fatura	38400.57						857.14	Econômico	Arbitragem	Agosto	
					Recebido	60000						5714.27	Contencioso	Arbitragem	Agosto	
3480	5	White Martins	1	Ato de Concentração - Projeto CSA	ASG	350	Contencioso	2025-03-17 00:00:00	700	Econômico		2571.42	Contencioso	Arbitragem	Setembro	
					DC	525			350	Econômico		1142.85	Contencioso	Arbitragem	Outubro	
					VC	700						15217.99	Econômico	Contencioso	Março	
					Total Fatura	1575						34919.89	Econômico	Contencioso	Abril	
					Recebido	1575						32348.3732247	Arbitragem	Contencioso	Junho	
3522	61	Atems	10	Ream - Trabalhos Adicionais	ASG	711.12	Econômico	2025-04-01 00:00:00	12843.81	Contencioso		1799.42	Econômico	Contencioso	Junho	
					BBX	14364.56			12721.81	Contencioso		14038.9679853	Arbitragem	Contencioso	Agosto	
					BMP	995.56			9047.73	Contencioso		300.87	Econômico	Contencioso	Agosto	
					DC	14222.5						8065.5919772	Arbitragem	Contencioso	Setembro	
					IAC	10113.71						1050	Contencioso	Econômico	Março	
					RB	7348.29						525	Contencioso	Econômico	Abril	
					VC	19279.25						525	Contencioso	Econômico	Maio	
					Total Fatura	67034.98999999999						30525	Contencioso	Econômico	Junho	
					Recebido	60000						3268.5299999999997	Contencioso	Econômico	Julho	
3535	136	Deere	1	Projeto Santos	IAC	5833.33	Arbitragem	2025-06-01 00:00:00	30257.48271	Contencioso		525	Contencioso	Econômico	Agosto	
					JGS	6250						525	Contencioso	Econômico	Outubro	
					MV	5500	10% Comiss	9120.473271				11025	Arbitragem	Contencioso	Dezembro	
					Total Fatura	17583.33										
					Recebido	91204.73271000001										
3536	136	Deere	1	Projeto Santos	IAC	2741.67	Arbitragem	2025-08-01 00:00:00	14038.9679853	Contencioso						
					JGS	8100						Consolidado	Area Origem	Area Destino	MÊS	
					MV	8525	10% Comiss	9916.87767353				32348.3732247	Arbitragem	Contencioso	Junho	
					Total Fatura	19366.67						14038.9679853	Arbitragem	Contencioso	Agosto	
					Recebido	99168.7767353						8065.5919772	Arbitragem	Contencioso	Setembro	
3537	5	White Martins	1	Ato de Concentração - Projeto CSA	ASG	525	Contencioso	2025-04-01 00:00:00	525	Econômico		1050	Contencioso	Econômico	Março	
					Total Fatura	525						525	Contencioso	Econômico	Abril	
