name	method	return_type	entity_set	n_params	params
Delete	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAlcadaView), alcadaId:Edm.String
IncluirProfissionalAlcada	GET			4	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAlcadaCategoriaView), profissionais:Edm.String, alcadaSuperiorId:Edm.String, alcadaCategoriaId:Edm.String
GetPeriodoTimesheet	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAlocacaoRecebimentoHorasAlocarCasoView), casoId:Edm.String
GetPeriodoTimesheet	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAlocacaoRecebimentoHorasAlocarCasoJuncaoView), casoId:Edm.String, juncaoId:Edm.String
GetPeriodoTimesheet	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAlocacaoRecebimentoHorasAlocarClienteView), clienteId:Edm.String
GetPeriodoTimesheet	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAlocacaoRecebimentoHorasAlocarJuncaoView), juncaoId:Edm.String
Alocar	GET			4	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAlocacaoRecebimentoTotalView), casoIds:Edm.String, juncaoId:Edm.String, anoMes:Edm.String
AlocarGuardandoSaldo	GET			4	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAlocacaoRecebimentoTotalView), casoIds:Edm.String, juncaoId:Edm.String, anoMes:Edm.String
FecharAnoMes	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAlocacaoRecebimentoTotalView), anoMes:Edm.String
CancelarAnoMes	GET			6	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAlocacaoRecebimentoTotalView), periodoInicial:Edm.String, periodoFinal:Edm.String, anoMesAberto:Edm.String, casoIds:Edm.String, juncaoId:Edm.String
IsProtheusDlldLoaded	GET			1	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAlocacaoRecebimentoTotalView)
AlocarManual	GET			6	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAlocacaoRecebimentoTotalView), alocacoes:Edm.String, casoId:Edm.String, anoMesAberto:Edm.String, group:Edm.String, juncaoId:Edm.String
TransferenciaAutomatica	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAlocacaoRecebimentoTotalView), contratoCodigo:Edm.String
DescarteSaldo	GET			4	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAlocacaoRecebimentoTotalView), ids:Edm.String, motivoDescarte:Edm.String, anoMes:Edm.String
RestaurarDescarteSaldo	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAlocacaoRecebimentoTotalView), ids:Edm.String
TransferirSaldo	GET			6	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAlocacaoRecebimentoTotalView), casoOrigemId:Edm.String, transferencias:Edm.String, motivo:Edm.String, juncaoId:Edm.String, anoMesAberto:Edm.String
Totais	GET			5	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAlocacaoRecebimentoTotalDetalheView), idAlocacao:Edm.String, contratoCodigo:Edm.String, clienteId:Edm.String, tipoContrato:Edm.String
GetResponsaveisAssunto	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAndamentoView), assuntoId:Edm.String
CadastrarEmail	GET			8	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAndamentoView), id:Edm.String, emails:Edm.String, assuntos:Edm.String, textos:Edm.String, envia:Edm.String, printInfos:Edm.String, anexosToSend:Edm.String
ImportAndamentos	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAndamentoView), assuntoId:Edm.String
InsertFilteredIntoQueue	GET			1	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAndamentoGridView)
ScheduleExportation	GET			19	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAndamentoGridView), exportModelId:Edm.String, assuntoEmail:Edm.String, diaAgendamento:Edm.String, diaSemana:Edm.String, diaPrimeiraQuinzena:Edm.String, diaSegundaQuinzena:Edm.String, nomeAgendamento:Edm.String, modeloTelaId:Edm.String, profileId:Edm.String, exportName:Edm.String, screenInfosJson:Edm.String, exportType:Edm.String, extension:Edm.String, descricao:Edm.String, destinatario:Edm.String, copia:Edm.String, periodicidade:Edm.String, reportFiltersRightBar:Edm.String
SingleScheduleRun	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAndamentoGridView), singularAgendadorId:Edm.String
GroupPastas	GET			1	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultRelatorioGerencialView)
Aprovar	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAprovacaoCaixinhaView), caixinhaId:Edm.String
Reprovar	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAprovacaoCaixinhaView), caixinhaId:Edm.String, motivoReprovacao:Edm.String
