set	status	bytes	items	error
AlcadaExcecaoViews	skip	129	0	
AcessoCaixinhaViews	skip	130	0	
AlcadaCategoriaViews	skip	131	0	
AlocacaoGrupoJuridicoPercentualViews	skip	147	0	
AlcadaViews	skip	122	0	
AlocacaoGrupoJuridicoViews	skip	137	0	
AlocacaoRecebimentoTransferenciaClienteViews	skip	7464	5	
AlocacaoRecebimentoCasoClienteViews	skip	146	0	
AlocacaoRecebimentoTransferenciaJuncaoViews	skip	154	0	
AlocacaoRecebimentoCasoJuncaoViews	skip	145	0	
AlocacaoRecebimentoContratoViews	skip	3595	5	
AlocacaoRecebimentoCasoContratoViews	skip	147	0	
AlocacaoRecebimentoFaturaJuncaoTransferenciaViews	500	4309	0	{
  "odata.error":{
    "code":"","message":{
      "lang":"en-US","value":"Ocorreu um erro."
    },"innererror":{

AlocacaoRecebimentoFaturaClienteTransferenciaViews	500	4309	0	{
  "odata.error":{
    "code":"","message":{
      "lang":"en-US","value":"Ocorreu um erro."
    },"innererror":{

AlocacaoRecebimentoDespesaJuncaoViews	200	148	0	
AlocacaoRecebimentoDespesaClienteViews	200	149	0	
AlocacaoRecebimentoFaturaClienteJobViews	200	2917	5	
AlocacaoRecebimentoFaturaJuncaoViews	200	147	0	
AlocacaoRecebimentoHorasAlocarClienteViews	200	153	0	
AlocacaoRecebimentoPeriodoModuloViews	200	1474	5	
AlocacaoRecebimentoFaturaClienteViews	200	2759	5	
AlocacaoRecebimentoTotalViews	200	140	0	
AlocacaoRecebimentoTotalDetalheViews	200	147	0	
AlocacaoRecebimentoProfissionalViews	200	147	0	
AlocacaoRecebimentoViews	200	135	0	
AlocacaoRecebimentoHorasAlocarJuncaoViews	200	152	0	
AndamentoViews	200	125	0	
AlocacaoRecebimentoTabeladoClienteViews	200	150	0	
ContratosAndamentoViews	200	134	0	
AlocacaoRecebimentoHorasAlocarCasoJuncaoViews	200	156	0	
ConsultivoAndamentoViews	200	135	0	
AlocacaoRecebimentoHorasAlocarCasoViews	200	150	0	
AlocacaoRecebimentoTabeladoJuncaoViews	200	149	0	
ConsultivoAndamentoGridViews	200	139	0	
