set	status	total_count	n_rows_returned
AlocacaoGrupoJuridicoPercentualViews	200	0	0
AlcadaCategoriaViews	200	0	0
AlcadaExcecaoViews	200	0	0
AlcadaViews	200	0	0
AlocacaoGrupoJuridicoViews	200	0	0
AcessoCaixinhaViews	200	0	0
AlocacaoRecebimentoTransferenciaClienteViews	200	542	1
AlocacaoRecebimentoCasoClienteViews	200	0	0
AlocacaoRecebimentoTransferenciaJuncaoViews	200	0	0
AlocacaoRecebimentoCasoContratoViews	200	0	0
AlocacaoRecebimentoContratoViews	200	542	1
AlocacaoRecebimentoDespesaJuncaoViews	200	0	0
AlocacaoRecebimentoCasoJuncaoViews	200	0	0
AlocacaoRecebimentoDespesaClienteViews	200	0	0
AlocacaoRecebimentoFaturaClienteJobViews	200	728	1
AlocacaoRecebimentoFaturaJuncaoTransferenciaViews	500	{
  "odata.error":{
    "code":"","message":{
      "lang":"en-US","value":"Ocorreu um erro."
    },"innererror":{
	0
AlocacaoRecebimentoFaturaClienteTransferenciaViews	500	{
  "odata.error":{
    "code":"","message":{
      "lang":"en-US","value":"Ocorreu um erro."
    },"innererror":{
	0
AlocacaoRecebimentoPeriodoModuloViews	200	732	1
AlocacaoRecebimentoFaturaJuncaoViews	200	0	0
AlocacaoRecebimentoTotalViews	200	0	0
AlocacaoRecebimentoTotalDetalheViews	200	0	0
AlocacaoRecebimentoHorasAlocarClienteViews	200	0	0
AlocacaoRecebimentoFaturaClienteViews	200	18	1
AlocacaoRecebimentoProfissionalViews	200	0	0
AlocacaoRecebimentoViews	200	0	0
ConsultivoAndamentoViews	200	0	0
ContratosAndamentoViews	200	0	0
AndamentoViews	200	0	0
ConsultivoAndamentoGridViews	200	0	0
ContratosAndamentoGridViews	200	0	0
AndamentoGridViews	200	0	0
AreaTipoAtividadeViews	200	0	0
AlocacaoRecebimentoTabeladoClienteViews	200	0	0
AditivoViews	200	0	0
RelatorioGerencialViews	200	114	1
AndamentoPadraoViews	200	0	0
AlocacaoRecebimentoHorasAlocarJuncaoViews	200	0	0
AgendaMensalViews	200	1	1
DepartamentoSolicitanteViews	200	0	0
AlocacaoRecebimentoHorasAlocarCasoViews	ERR	HTTPSConnectionPool(host='legaldesk.mbclaw.com.br', port=443): Read timed out. (read timeout=60)	0
AlocacaoRecebimentoHorasAlocarCasoJuncaoViews	ERR	HTTPSConnectionPool(host='legaldesk.mbclaw.com.br', port=443): Read timed out. (read timeout=60)	0
AlocacaoRecebimentoTabeladoJuncaoViews	200	0	0
AreaInteresseViews	200	0	0
AprovacaoCaixinhaViews	200	0	0
AprovacaoDespesaViews	200	9	1
CompromissoGridViews	500	{
  "result": {
    "error": true,
    "type": "general",
    "message": "Parâmetro dos profissionais do carrossel n	0
AssuntoPastaFisicaViews	200	0	0
ContratosCompromissoGridViews	500	{
  "result": {
    "error": true,
    "type": "general",
    "message": "Parâmetro dos profissionais do carrossel n	0
ConsultivoCompromissoGridViews	500	{
  "result": {
    "error": true,
    "type": "general",
    "message": "Parâmetro dos profissionais do carrossel n	0
CasoPastaFisicaViews	200	0	0
CompromissoWorkflowLogViews	200	0	0
ConfiguracaoUsuarioViews	200	1	1
CronometroViews	500	{
  "odata.error":{
    "code":"","message":{
      "lang":"en-US","value":"Ocorreu um erro."
    },"innererror":{
	0
AreaJuridicaViews	200	8	1
CompromissoViews	200	1	1
ContratosCompromissoViews	200	1	1
ConsultivoCompromissoViews	200	1	1
ArmarioViews	200	0	0
TrabalhistaAssuntoGridViews	200	1	1
AssuntoGridViews	200	1	1
AssuntoSearchModalViews	200	1	1
CriminalAssuntoGridViews	200	1	1
AlteracaoResponsavelLoteViews	200	0	0
ContratosAssuntoGridViews	200	1	1
ConsultivoAssuntoGridViews	200	1	1
AssuntoViews	200	1	1
AssuntoResponsavelViews	200	0	0
AssuntoRegraViews	200	0	0
AbaViews	200	28	1
ConsultivoAssuntoViews	200	1	1
VersaoViews	200	22	1
ContratosAssuntoViews	200	1	1
CivelAssuntoViews	200	1	1
AtoViews	200	24	1
CriminalAssuntoViews	200	1	1
TributarioAssuntoViews	200	1	1
TrabalhistaAssuntoViews	200	1	1
AgendamentoDeFeriasViews	200	0	0
RegistroAcaoViews	500	{
  "result": {
    "error": true,
    "type": "general",
    "message": "No coercion operator is defined between ty	0
UsuarioAtividadeViews	500	{
  "result": {
    "error": true,
    "type": "general",
    "message": "ORA-00942: table or view does not exist",	0
TabelaConversaoViews	200	2	1
PeriodoModuloViews	200	732	1
PeriodoModuloFinanceiroViews	200	0	0
ModeloTelaCamposViews	200	None	0
ValorCotacaoViews	200	5877	1
AtoGerencialViews	200	0	0
ModeloViews	200	620	1
CampoModeloTelaViews	200	None	0
CadastroPerfilViews	200	0	0
CasoTipoDespesaViews	200	1084	1
CasoFixoViews	200	0	0
CasoTipoAtividadeViews	200	17	1
CasoFixoFaixaViews	200	0	0
CelulaViews	200	0	0
ComarcaEstadoViews	200	0	0
CasoFixoFaixaProfissionalViews	200	0	0
CasoViews	200	542	1
ComarcaViews	200	13245	1
VaraViews	200	15116	1
ComarcaFavoritoViews	200	0	0
ForoViews	200	12588	1
ClassificacaoDespesaViews	200	0	0
ClienteViews	200	147	1
ClientesRevisaoFixoViews	200	28	1
ClienteParticipacaoViews	200	0	0
ConfiguracaoAssuntoViews	200	3	1
ClientePagadorViews	200	227	1
ComponenteUsuarioViews	200	23	1
ConfiguracaoDesdobramentoViews	200	0	0
ConfiguracaoAssuntoPerfilViews	200	0	0
ConflitoAvaliacaoViews	200	0	0
ConsumoOrcamentoProjetoEscritorioGrupoJuridicoViews	200	0	0
ConsumoOrcamentoProjetoGerenciaViews	200	0	0
ConsumoOrcamentoProjetoEscritorioViews	200	0	0
ConsumoOrcamentoProjetoGrupoJuridicoViews	200	0	0
ConsumoOrcamentoProjetoViews	200	0	0
ContratoViews	200	522	1
CasoContratoViews	200	542	1
ConsumoOrcamentoProjetoItemViews	200	0	0
ConsumoOrcamentoProjetoItemDespesaViews	200	0	0
CotacaoViews	200	0	0
CotacaoAprovacaoViews	200	0	0
CotacaoFornecedorViews	200	0	0
CasosRevisaoFixoViews	200	66	1
CotacaoFornecedorAprovacaoViews	200	0	0
BusinessPlanConsolidadoProfissionalViews	200	0	0
BusinessPlanCustoViews	200	0	0
DescarteSaldoHoraViews	200	0	0
DepositoViews	200	0	0
BusinessPlanCategoriaViews	200	0	0
ClienteEmLoteViews	200	147	1
DesdobramentoViews	200	0	0
DesdobramentoConfigCamposViews	500	{
  "result": {
    "error": true,
    "type": "general",
    "message": "ORA-00942: table or view does not exist",	0
DespFavoritoViews	200	0	0
DesdobramentoResponsavelViews	200	0	0
DiscrepanciaItemViews	200	0	0
DiscrepanciaViews	200	0	0
EBillingAtividadeViews	200	0	0
EBillingDocumentoViews	200	0	0
DevolucaoRemanejamentoProjetoViews	200	0	0
TSEBillingDocumentoViews	200	0	0
EBillingDocumentoValorPadraoViews	200	0	0
EBillingEmpresaViews	200	0	0
TSEBillingFaseViews	200	0	0
EBillingFaseViews	200	0	0
EbillingTarefaViews	200	0	0
EmprestimoPastaFisicaViews	200	0	0
EnvioEmailViews	200	0	0
TrabalhistaEnvolvidoViews	200	0	0
EnvolvidoViews	200	0	0
ConsultivoEnvolvidoViews	200	0	0
EscritorioViews	200	2	1
EnvolvidoGridViews	200	0	0
ExcecaoReceitaAlocacaoViews	200	0	0
ExcecaoRevisorCasoViews	200	8	1
EmpresaJuridicoViews	200	1	1
ExportacaoModeloPerfilViews	200	12	1
ExportacaoModeloColunaViews	200	48	1
ExportacaoModeloViews	200	0	0
FaseViews	200	6	1
FeriadoViews	200	36	1
FaturaProfissionalViews	500	{
  "result": {
    "error": true,
    "type": "general",
    "message": "Unable to create a map expression from Fat	0
FornecedorFavoritoViews	200	0	0
FornecedorViews	200	275	1
FaturaRedacaoViews	200	4191	1
FormaCorrecaoViews	200	0	0
FaturaViews	200	4191	1
FaturaCasoViews	200	5070	1
FornecedorContaViews	200	102	1
FornecedorEnderecoViews	200	56	1
GerenciaViews	200	0	0
FornecedorPlanoContaViews	200	0	0
GerencialDemonstrativoViews	200	8	1
GerenciaCentroCustoViews	200	0	0
LDataCapaProcessoViews	200	0	0
LDataDistribuicaoViews	200	0	0
GrupoAvaliacaoConflitoViews	200	0	0
